#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,PORTAL,TIER-LEVEL,COUNT
1528,Rich Rolf,YSU,0.602,0.572,171.7,6.3,15.7,11.1,13.7,11.7,1.7,1.3,16.3,1.3,1.3,127.2,105.5,21.7,258.8,16.6,30,27.2,9.4,3.3,7.2,0.465,1.5,4.1,0.371,1.2,1.4,0.881,1.3,3.4,4.7,2.1,0.8,0.3,1,2,2.10,19.4,56.9,70.1,6-7,F,Jr,Horizon,25-26,26,FORWARD,0,Low-Major,FALSE
1529,Aaron Davis III,BRYNT,0.562,0.546,144.5,4.9,15.4,10.1,7.1,10.7,2.8,2.1,22.6,-2.7,1.3,109.3,107.5,1.8,163.1,16.6,26,23.6,10.1,3.3,8,0.415,2.1,5.5,0.375,1.4,2.1,0.655,0.9,2.8,3.7,0.7,1.1,0.5,1.1,2.3,0.64,26.3,68.8,76.0,6-7,G,Jr,AEC,25-26,26,GUARD,0,Low-Major,FALSE
1530,Jeremiah Burke,DEN,0.568,0.548,164.3,5.2,16.4,10.9,8.6,13.5,0.8,1.1,23.7,-3.2,1.2,112.9,118.8,-5.8,264.5,16.6,30,31.9,14.8,5.5,12.1,0.453,2.3,5.8,0.397,1.5,1.9,0.793,1.3,4.3,5.6,1.5,0.4,0.3,2,2,0.75,15.7,47.9,75.5,6-7,F,Sr,Summit,25-26,26,FORWARD,0,Low-Major,FALSE
1531,Josh Beadle,CCU,0.51,0.456,146.7,2.2,10.6,6.6,21.4,13.3,1.5,0.4,30.5,-1.8,1.2,102.7,103.5,-0.7,226.8,16.6,30,32.3,17.1,6.1,14.3,0.423,0.9,3.6,0.262,4.1,5.2,0.782,0.6,3.2,3.9,3,0.9,0.1,2.6,2.7,1.15,36.4,25.2,57.6,6-3,G,Sr,Sun Belt,25-26,26,GUARD,0,Mid-Major,FALSE
1532,Kenyon Aguino,MONT,0.612,0.578,161.2,8.3,13.5,11.2,13.2,14.3,1.4,1.9,18.4,-0.4,1.5,120.2,104.7,15.5,202.4,16.5,28,23.7,8.9,3.3,6,0.551,0.3,1,0.333,2,2.8,0.727,1.4,2.8,4.1,1.7,0.6,0.4,1.2,2.2,1.42,46.7,16.7,49.2,6-7,F,Fr,BSKY,25-26,26,FORWARD,0,Low-Major,FALSE
1533,Grant Randall,QUIN,0.559,0.53,148.9,7.2,16.7,11.9,4.5,5.5,1.7,2.2,16.1,-0.2,1.3,124.9,103,21.9,282.9,16.5,29,31.9,11.2,4,8.8,0.461,1.2,3.9,0.307,2,2.7,0.722,2,4.4,6.4,0.8,1,0.7,0.6,2.1,1.33,30.7,44.3,63.7,6-9,PF,So,MAAC,25-26,26,FORWARD,0,Low-Major,FALSE
1534,L.J. Cason,MICH,0.621,0.603,159.8,1.6,9.3,5.9,20.6,20.2,2.7,0,21.3,-0.6,1.4,114.4,96.6,17.8,159.4,16.5,27,18.9,8.3,2.9,5.8,0.5,1.2,3,0.4,1.4,2,0.698,0.2,1.7,1.9,2.4,0.9,0,1.7,0.9,1.41,34.5,51.7,64.9,6-2,G,So,B10,25-26,26,GUARD,0,Power 5,FALSE
1535,Jacolb Cole,MCNST,0.503,0.415,128.7,8.5,20,14.2,14,15.7,3.6,2.7,18.3,-0.1,1.3,111.3,94.5,16.8,170.8,16.5,29,18.6,5.8,1.8,4.5,0.4,0.1,1.2,0.111,2,2.6,0.776,1.2,2.9,4.1,1.6,1.1,0.3,1.1,1.8,1.45,57.8,26.7,43.9,6-7,F,So,SLC,25-26,26,FORWARD,0,Low-Major,FALSE
1536,Gavin Walsh,UNCW,0.49,0.492,121.5,12.5,16.2,14.4,6.8,8.2,2.4,0.3,20.2,-1,1.2,114.5,95.5,19,118.8,16.5,15,25.7,9.5,3.5,8.2,0.431,1,3.1,0.326,1.5,3.2,0.458,2.7,3.7,6.5,0.9,1.1,0.1,0.9,2,1.00,39.0,37.8,55.0,6-8,F,Jr,CAA,25-26,26,FORWARD,0,Mid-Major,FALSE
1537,"Kowacie Reeves, Jr.",GT,0.563,0.533,160.3,3.3,10.7,7.2,8.3,9.3,1.9,2.4,23.7,-1.8,1.3,110.9,106.5,4.5,211.8,16.5,26,29.6,14.7,5.3,11.7,0.451,1.9,5.1,0.376,2.3,2.9,0.776,0.8,2.9,3.7,1.2,1,0.6,1.3,2.4,0.92,24.8,43.6,71.4,6-7,G,Sr,ACC,25-26,26,GUARD,0,Power 5,FALSE
1538,London Jemison,UA,0.569,0.563,139.6,7.9,16.2,12.3,3.7,7.4,2,2,18.5,-1.4,1.3,120.8,108.1,12.8,129.9,16.5,26,15.4,6.5,2.2,4.9,0.457,1,2.8,0.365,1,1.8,0.574,1.1,2.5,3.6,0.3,0.6,0.3,0.5,1.9,0.60,36.7,57.1,61.0,6-8,F,Fr,SEC,25-26,26,FORWARD,0,Power 5,FALSE
1539,Ben Vander Wal,FRMN,0.62,0.667,131.7,10.8,14.2,12.6,14.3,15,1.7,2.3,13,1.6,1.6,127.8,103.5,24.3,274.4,16.5,28,29,7.8,3.2,4.9,0.662,0.1,0.3,0.222,1.3,3,0.435,2.3,3.6,5.9,2.4,0.8,0.6,1.1,2.5,2.18,61.2,6.1,40.1,6-7,F,Sr,SoCon,25-26,26,FORWARD,0,Low-Major,FALSE
1540,Blair Thompson,COM,0.612,0.606,155.9,4.5,14.3,9.7,6.9,8.1,1.9,1.8,16.2,0.1,1.4,128.2,104.3,23.9,225.9,16.5,25,30.7,11.1,4,8,0.497,1.7,4,0.434,1.5,2.4,0.627,1,3.6,4.7,1.2,1,0.5,0.8,1.9,1.50,30.0,50.0,69.0,6-8,GF,Sr,IVY,25-26,26,WING,0,Mid-Major,FALSE
1541,Joseph Pinion,USOFL,0.559,0.54,159.2,5,9.4,7.2,12.6,10.6,2.9,1,21.8,-0.5,1.2,117.7,102.7,15,254.3,16.5,28,30.1,14.5,4.9,12.1,0.403,3.3,8.5,0.389,1.4,1.8,0.8,1.3,2.5,3.8,2.1,1.6,0.3,1.5,2.7,1.40,14.9,70.2,91.8,6-5,F,Sr,AAC,25-26,26,FORWARD,0,High-Major,FALSE
1542,Marvin Musiime-Kamali,AKR,0.692,0.703,132.2,16,11.2,13.4,7,19,3.6,2.2,10.7,-0.9,1.8,138.3,100.6,37.7,83.9,16.5,28,9.3,2.3,0.9,1.3,0.703,0,0,0,0.5,0.8,0.619,1.1,0.9,2.1,0.5,0.6,0.2,0.4,1.5,1.25,61.5,0.0,36.6,6-6,GF,So,MAC,25-26,26,WING,0,Mid-Major,FALSE
1543,Liam Dayco-Green,FAU,0.573,0.577,133.9,9.5,4.2,6.7,0,12.5,2.1,0,28.5,-7.5,1.2,115,101.9,13.1,6.3,16.5,7,3.6,2.3,0.7,1.9,0.385,0.7,1.6,0.455,0.1,0.3,0.5,0.3,0.1,0.4,0,0.1,0,0.3,0.3,0.00,15.8,84.2,58.6,6-2,G,Fr,AAC,25-26,26,GUARD,0,High-Major,FALSE
1544,Mark Lavrenov,CSUS,0.59,0.494,160.4,11.2,20.4,15.7,3.5,10.7,0.5,1.3,18.1,-2.6,1.6,124.1,113.8,10.3,216.5,16.5,27,25.7,10.2,3,6.4,0.471,0.3,1,0.308,3.9,4.7,0.825,2.6,4.5,7.1,0.5,0.2,0.3,1,3.1,0.50,73.4,15.6,51.3,6-8,F,Fr,BSKY,25-26,26,FORWARD,0,Low-Major,FALSE
1545,Dontrez Williams,LIND,0.52,0.505,132.9,4.2,12.2,8.2,12.4,16.1,4.3,2.1,25.5,-4.3,1.2,98.9,96.8,2.1,224.1,16.5,25,31.9,15.1,5.7,12.2,0.467,0.9,3.2,0.291,2.8,4.8,0.57,1.2,3.4,4.5,2,2.6,0.7,2.8,2.6,0.71,39.3,26.2,55.0,6-5,F,So,OVC,25-26,26,FORWARD,0,Low-Major,FALSE
1546,Ponce James,DESU,0.5,0.446,157.6,2.5,8.9,5.5,26.2,12.6,3.7,0.2,26.5,0.6,1.1,101.3,106,-4.7,174,16.5,23,30,13.2,4.4,11.7,0.381,1.5,4.5,0.34,2.8,3.3,0.855,0.6,1.9,2.5,3.1,1.9,0,1.9,1.7,1.63,28.2,38.5,65.6,5-11,G,So,MEAC,25-26,26,GUARD,0,Low-Major,FALSE
1547,Ice Emery,CLEST,0.6,0.552,161.8,0.6,6.1,3.4,20.2,15.3,1,1.3,28.2,-2.2,1.5,112.4,123.5,-11.1,158.3,16.5,30,21.9,12.6,4,8.6,0.463,1.5,4,0.38,3.1,4,0.775,0.1,1.1,1.2,2.1,0.4,0.2,1.9,2.2,1.11,46.5,46.5,69.9,6-0,G,Sr,Horizon,25-26,26,GUARD,0,Low-Major,FALSE
1548,"Abdi Bashir, Jr.",KSU,0.602,0.597,155.2,1.1,9.4,5.4,15.7,9.2,1.1,0,22.5,1.5,1.3,120.6,111.5,9.1,139.5,16.5,18,24.6,13.2,4.4,10.6,0.421,3.7,8.4,0.444,0.6,0.9,0.688,0.2,2,2.2,2.3,0.5,0,1.1,1.2,2.09,8.5,79.2,93.8,6-7,G,Jr,B12,25-26,26,GUARD,0,Power 5,FALSE
1549,Jordan Gabriel,MRST,0.535,0.55,100.5,12.8,21.4,17.2,8.1,10.6,0.8,2.4,20.3,-1.4,1.4,111.4,94.1,17.3,45.3,16.5,22,6.7,2.5,1,1.8,0.55,0,0.1,0,0.5,1,0.455,0.7,1.2,1.9,0.3,0.1,0.1,0.3,0.9,1.00,55.6,5.6,30.2,6-9,F,Fr,MAAC,25-26,26,FORWARD,0,Low-Major,FALSE
1550,Nyle Ralph-Beyer,HEART,0.61,0.589,172.5,4.3,11.7,8,5.2,8,0.9,0.4,21,-1.7,1.3,120.7,115.4,5.3,229.4,16.5,28,30.2,14,4.8,10.6,0.453,2.9,6.6,0.435,1.5,1.8,0.837,1,2.8,3.9,0.8,0.5,0.1,1,1.3,0.80,17.0,62.3,84.6,6-4,G,So,MAAC,25-26,26,GUARD,0,Low-Major,FALSE
1551,Jay Rodgers,CCSU,0.539,0.492,160.7,0.5,9.3,5.2,44.1,20,0.8,0.1,23.8,7.2,1.2,111.3,112,-0.7,253.8,16.5,27,29.6,11.3,3.9,9.2,0.427,1.2,3.3,0.364,2.3,2.8,0.816,0.1,2.3,2.4,7,0.4,0,2.6,1.2,2.69,30.4,35.9,61.0,6-3,SG,Sr,NEC,25-26,26,GUARD,0,Low-Major,FALSE
1552,Del Jones,RADF,0.529,0.468,154.8,2,12.7,7.2,22.3,15.7,1.7,0.8,29,-2,1.3,105.2,109,-3.9,248.8,16.5,29,31.4,17,5.7,13.6,0.42,1.3,4.2,0.311,4.3,5.2,0.816,0.5,3.2,3.7,3.5,1,0.2,3,1.7,1.17,38.2,30.9,63.9,6-3,G,So,BSC,25-26,26,GUARD,0,Low-Major,FALSE
1553,Mohammad Habhab,EMICH,0.47,0.415,137.3,6.5,21.3,13.9,17.3,13.1,1.4,4.1,24.9,-0.6,1.1,99.9,105.1,-5.2,321.9,16.5,28,36.1,14.2,5.2,12.8,0.404,0.3,1.3,0.229,3.6,4.8,0.741,2,6.4,8.4,3.1,0.9,1.4,2.3,2.3,1.35,37.5,10.2,41.4,6-9,F,Fr,MAC,25-26,26,FORWARD,0,Mid-Major,FALSE
1554,Sam Lewis,UVA,0.593,0.569,159.4,4.1,12.6,8.6,10.2,12,1.8,0.6,20.5,-1.2,1.3,121.1,101.7,19.4,197,16.5,28,25.5,10.9,3.8,8.1,0.465,1.7,4.3,0.395,1.7,2.3,0.734,0.8,2.8,3.6,1.4,0.8,0.1,1.3,1.9,1.08,28.4,53.1,70.3,6-6,GF,Jr,ACC,25-26,26,WING,0,Power 5,FALSE
1555,Koron Davis,AAMU,0.551,0.473,156,4.8,18,11.5,6.3,13.5,1.6,0.7,26.7,-5.2,1.4,106.6,105.3,1.3,198.5,16.5,28,28.9,14.2,4.4,10.4,0.423,1,3.4,0.302,4.4,5.2,0.836,1.1,4.2,5.3,0.8,0.8,0.2,2,2.7,0.40,50.0,32.7,62.1,6-7,F,Jr,SWC,25-26,26,FORWARD,0,Low-Major,FALSE
1556,Chidi Chiakwelu,PRSBY,0.572,0.623,104.1,11.2,16.4,13.9,2.4,13,1.6,11.5,14.3,-2.8,1.6,113.9,101,12.9,92.4,16.5,29,10.6,2.9,1.1,1.8,0.623,0,0,0,0.6,1.5,0.419,0.9,1.3,2.2,0.1,0.3,1.1,0.4,1.6,0.25,83.3,0.0,32.5,6-8,F,Fr,BSC,25-26,26,FORWARD,0,Low-Major,FALSE
1557,Jake Heidbreder,FRSNO,0.574,0.509,163,2,7.2,4.7,12.9,12.2,2.3,0.5,23.7,-1.6,1.4,113.1,106.1,7,237.1,16.5,26,36.8,17.4,5.4,12.8,0.419,2.3,7.2,0.321,4.3,4.9,0.89,0.6,2.2,2.8,2.3,1.5,0.2,2.1,1.8,1.10,38.3,56.3,85.3,6-5,PG,Sr,MWC,25-26,26,GUARD,0,High-Major,FALSE
1558,Daimion Collins,USOFL,0.645,0.647,143.3,8.9,16.7,12.8,4.9,13.4,1,11.3,11.5,-1.4,1.6,128.4,98.9,29.4,146.9,16.5,28,14.6,4.2,1.7,2.7,0.627,0.1,0.5,0.2,0.7,1.2,0.606,1.1,2.1,3.3,0.4,0.3,1.5,0.5,2,0.80,44.4,18.5,43.4,6-9,F,Sr,AAC,25-26,26,FORWARD,0,High-Major,FALSE
1559,C.J. Ray,CHIST,0.515,0.476,165.5,9.4,10.8,10.1,9.3,8.1,1.7,0.4,24.5,-1.2,1.1,109.1,117.1,-7.9,218.9,16.5,29,30.9,13.6,5,12,0.418,1.4,3.7,0.374,2.2,2.5,0.863,2.3,2.4,4.8,1.2,0.9,0.1,1.2,2.4,1.00,20.8,30.8,61.2,6-6,GF,Sr,NEC,25-26,26,WING,0,Low-Major,FALSE
1560,Chisom Okpara,STAN,0.521,0.442,142.7,6.6,10.6,8.5,16.1,16.5,2.3,1.4,27.7,-4.1,1.4,105.6,104.7,0.9,121.9,16.5,17,28.6,13.9,4,10.2,0.393,1,3.3,0.304,4.9,6.8,0.73,1.6,2.3,3.9,2.2,1.1,0.4,2.6,1.9,0.85,66.7,32.4,61.2,6-8,F,Sr,ACC,25-26,26,FORWARD,0,Power 5,FALSE
1561,Josh Hines,UWGB,0.596,0.633,86.7,2.4,11.7,7.2,21.7,0,2,0,14.9,7.1,1.3,133.8,102.9,30.9,16.3,16.5,6,9.3,3.2,1.3,2.5,0.533,0.5,1.5,0.333,0,0.3,0,0.2,0.8,1,1,0.3,0,0,1.2,,12.0,60.0,46.9,6-2,G,Jr,Horizon,25-26,26,GUARD,0,Low-Major,FALSE
1562,Josh O'Garro,CSUN,0.528,0.515,136.2,6.2,25.6,15.9,14.9,15.6,1.7,2.9,21.1,-1.3,1.2,105.1,100.2,4.9,345.9,16.5,27,33.4,13.9,5.4,11.4,0.471,1,3.3,0.307,2.2,3.7,0.584,1.8,7.6,9.4,2.9,1.1,0.7,2.4,2,1.21,32.5,28.9,56.1,6-6,G,Sr,BWC,25-26,26,GUARD,0,Mid-Major,FALSE
1563,Pedro Santos,UTM,0.491,0.473,137.7,9,16.7,13,8.6,13.9,5.2,0.5,23.4,-4.1,1.1,102.1,87.9,14.1,140.6,16.4,27,18.1,7.2,2.8,6.8,0.415,0.8,2.7,0.284,0.8,1.1,0.677,1.3,2.7,4,0.7,1.6,0.1,1.2,2,0.58,16.2,39.7,52.1,6-7,F,Fr,OVC,25-26,26,FORWARD,0,Low-Major,FALSE
1564,Caden Diggs,UMBC,0.573,0.542,166.1,3.4,16.1,10,8.2,14.1,1.3,2.2,24.4,-3.9,1.3,105.3,99.4,5.9,150.9,16.4,25,23,10.3,3.9,8.1,0.483,1,2.6,0.369,1.5,1.9,0.809,0.6,3.1,3.7,0.9,0.5,0.5,1.5,1.7,0.60,23.5,32.1,57.5,6-7,F,So,AEC,25-26,26,FORWARD,0,Low-Major,FALSE
1565,Jaylen Crocker-Johnson,MINN,0.524,0.493,145.6,7.9,20.8,14.5,12.7,11.5,1.2,3.9,25.4,-1.6,1.2,105.8,104,1.8,232.3,16.4,24,31.5,13.4,4.7,11.3,0.415,1.8,5.4,0.323,2.3,3.3,0.718,1.8,5,6.8,1.8,0.6,1,1.7,2.8,1.06,29.2,47.8,70.7,6-8,F,Jr,B10,25-26,26,FORWARD,0,Power 5,FALSE
1566,Jaden Alexander,CSUB,0.556,0.47,160.6,8.2,12,10.1,5.5,13.8,1.8,0.8,23.7,-5,1.4,112.1,110.5,1.6,96,16.4,20,19.6,9.4,2.8,6.6,0.424,0.6,1.7,0.353,3.2,3.8,0.829,1.4,2,3.4,0.5,0.7,0.2,1.4,2.1,0.36,57.6,25.8,54.7,6-4,G,Jr,BWC,25-26,26,GUARD,0,Mid-Major,FALSE
1567,Zayden High,UNC,0.512,0.492,120.5,12.5,24.2,18.7,10.4,17.4,2.2,2.9,21.3,-3.4,1.2,104.1,95.2,8.9,70,16.4,24,8.4,3,1.2,2.5,0.475,0.1,0.5,0.154,0.6,1.1,0.577,0.8,1.8,2.7,0.5,0.3,0.3,0.6,1.1,0.83,44.0,20.0,37.4,6-10,C,So,ACC,25-26,26,BIG,0,Power 5,FALSE
1568,Denzel Aberdeen,UK,0.559,0.518,159.6,2.4,7.3,4.9,20.3,10,1.3,0.4,21.5,3.1,1.3,121.3,110.1,11.2,224,16.4,28,29.2,12.9,4.4,10,0.436,1.6,4.4,0.371,2.5,3.2,0.789,0.6,1.8,2.4,3.3,0.7,0.1,1.3,1.8,2.54,32.0,44.0,68.5,6-5,G,Sr,SEC,25-26,26,GUARD,0,Power 5,FALSE
1569,Mekhi Lowery,UIC,0.523,0.497,112.1,8.7,19.2,14,14.9,16.4,3.2,3.8,17.7,-0.5,1.2,109,97.6,11.3,245.9,16.4,30,26,8,3.2,6.4,0.497,0,0,0,1.6,2.6,0.623,1.8,4,5.8,2.1,1.4,0.7,1.5,3,1.40,40.6,0.0,28.6,6-7,F,Jr,MVC,25-26,26,FORWARD,0,High-Major,FALSE
1570,Tyler Spratt,UDM,0.559,0.525,155.2,5.4,13,9.2,11.6,9.5,1.7,1.7,19.5,0.4,1.3,120.9,111.8,9,195.6,16.4,28,24.2,9.9,3.2,7.7,0.412,1.8,4.5,0.386,1.8,2.3,0.754,1.1,2.6,3.8,1.5,0.8,0.4,0.9,2,1.67,29.9,58.4,71.0,6-5,F,Fr,Horizon,25-26,26,FORWARD,0,Low-Major,FALSE
1571,Ofri Naveh,ORU,0.543,0.5,143.2,6,18.9,12.3,12.3,15.7,2.4,1.7,22.5,-3.3,1.4,105.8,107.8,-2,237.1,16.4,28,29.4,12.1,4.2,8.9,0.47,0.5,1.9,0.283,3.2,4.7,0.679,1.5,4.4,5.9,1.6,1.3,0.5,2.1,2.5,0.76,52.8,21.3,50.9,6-7,F,So,Summit,25-26,26,FORWARD,0,Low-Major,FALSE
1572,Gavin Griffiths,TEM,0.513,0.508,132.7,3.4,18.7,10.9,8.9,9.9,2.4,7.5,19.9,-0.8,1.1,104.4,99.8,4.6,233,16.4,25,29.6,10.4,3.9,9.8,0.398,2.2,6.6,0.329,0.5,0.8,0.6,0.8,4.2,5,1.3,1.2,2,1.1,1.7,1.18,8.2,67.3,76.1,6-7,GF,Jr,AAC,25-26,26,WING,0,High-Major,FALSE
1573,"Howie Fleming, Jr.",UNLV,0.578,0.515,155.9,5.2,22.1,13.4,21.5,19.6,2.5,0.5,17.7,1.2,1.4,115.2,108.1,7.1,246.6,16.4,25,27.5,9.1,2.9,6.4,0.447,0.8,2.6,0.292,2.6,3.3,0.793,1.1,4.7,5.8,3.5,1.2,0.1,2,2.5,1.75,51.6,40.6,59.7,6-5,PG,Sr,MWC,25-26,26,GUARD,0,High-Major,FALSE
1574,Aidan Losiewicz,UNH,0.645,0.66,118,0.8,13.1,6.8,11.3,13.4,1.6,0.7,21.3,-1.8,1.3,111.5,106.3,5.3,41.3,16.4,22,7.2,3,1.1,2.3,0.48,0.8,1.8,0.45,0,0.2,0.25,0,0.7,0.7,0.4,0.2,0,0.4,0.4,1.00,8.7,78.3,57.9,6-3,G,Fr,NEC,25-26,26,GUARD,0,Low-Major,FALSE
1575,Isaiah Placide,UMass,0.586,0.562,152.6,3.2,11.4,7.2,7.7,8.6,1.5,1.3,23.4,-1.4,1.4,119.3,108,11.3,49.8,16.4,23,8.4,4.3,1.3,3.2,0.411,1,2.3,0.423,0.8,1.1,0.692,0.2,0.7,1,0.3,0.2,0.1,0.3,0.9,1.00,34.4,71.9,63.7,6-4,F,Sr,MAC,25-26,26,FORWARD,0,Mid-Major,FALSE
1576,Jacob Cofie,USC,0.565,0.557,141.1,8.6,19.7,14.3,12.7,16.5,1.9,6.3,16.4,-1.1,1.3,112.4,102.7,9.8,296.8,16.4,28,30.6,9.8,3.9,7.5,0.517,0.6,2,0.304,1.4,2.4,0.591,2.1,5,7,2.1,1,1.7,1.7,3.1,1.24,32.0,26.7,50.5,6-10,FC,So,B10,25-26,26,FORWARD,0,Power 5,FALSE
1577,Tai'reon Joseph,PVAMU,0.531,0.494,149.9,1.7,7.8,4.7,6.1,9.3,2,0,29.7,-3.7,1.2,104.5,110.7,-6.1,167.8,16.4,23,33.2,20.6,7.1,17,0.418,2.6,8.1,0.317,3.8,5,0.763,0.5,2.1,2.6,1,1.3,0,2,2,0.50,29.4,47.6,84.7,6-3,G,Sr,SWC,25-26,26,GUARD,0,Low-Major,FALSE
1578,"Daniel Skillings, Jr.",BAYL,0.52,0.484,143.6,10.4,18.1,14.4,14.3,13.7,2,0.5,19.6,0.1,1.2,115.2,106,9.1,201.8,16.4,23,26.2,9.7,3.4,8,0.429,0.9,2.9,0.303,2,2.8,0.703,2.2,4,6.3,2.3,1,0.1,1.5,2,1.53,35.0,36.3,56.2,6-6,SG,Sr,B12,25-26,26,GUARD,0,Power 5,FALSE
1579,"Shawn Phillips, Jr.",MZZOU,0.643,0.678,114.3,10.5,20.9,15.9,7.1,25.9,0.8,8.6,19.8,-7.8,1.6,103.5,107.1,-3.6,159.5,16.4,26,19.7,7.3,3.2,4.7,0.678,0,0,0,1,2.2,0.466,1.6,3.4,5,0.7,0.3,1.4,2,2.8,0.35,46.8,0.0,31.8,7-0,C,Sr,SEC,25-26,26,BIG,0,Power 5,FALSE
1580,Coen Carr,MCHST,0.557,0.539,138.7,6.7,16.1,11.6,8.8,12.2,1.1,4.1,20.9,-2,1.4,113.4,98.7,14.7,231.1,16.4,27,28.6,11.6,4.3,8.4,0.504,0.6,2.1,0.281,2.5,4.2,0.602,1.5,3.9,5.3,1.3,0.5,0.9,1.4,1.7,0.93,50.0,25.0,51.8,6-6,F,Jr,B10,25-26,26,FORWARD,0,Power 5,FALSE
1581,Jace Winkleman,MRHD,0.625,0.625,90,0,0,0,0,11.1,0,0,28.8,-6.8,1.3,112,119.2,-7.2,3,16.4,4,3.6,2.5,1,2,0.5,0.5,1.3,0.4,0,0,0,0,0,0,0,0,0,0.3,0,0.00,0.0,65.0,48.1,6-3,G,Fr,OVC,25-26,26,GUARD,0,Low-Major,FALSE
1582,Devin Royal,OSU,0.584,0.539,158.7,6.7,14.3,10.8,9.4,13.2,0.9,0.4,22.3,-2.4,1.4,116.8,110.2,6.7,221.5,16.4,26,32.5,14.1,5,10.2,0.489,1,3.3,0.314,3.1,3.9,0.784,1.6,3.9,5.5,1.7,0.5,0.1,1.8,2.7,0.94,38.2,32.4,61.3,6-6,F,Jr,B10,25-26,26,FORWARD,0,Power 5,FALSE
1583,Leo Beath,UCSD,0.549,0.516,154.7,3.7,15,9.5,9.2,11.5,2.3,1.7,22.6,-1.9,1.2,108.1,100.4,7.7,238.8,16.4,28,29.7,12.9,4.6,10.4,0.441,1.5,4.3,0.355,2.3,3,0.75,0.9,3.9,4.8,1.4,1.2,0.4,1.5,1.7,0.93,28.8,41.3,66.2,6-8,F,Jr,BWC,25-26,26,FORWARD,0,Mid-Major,FALSE
1584,Keeyan Itejere,URI,0.68,0.675,133.7,11.1,15.5,13.3,4.2,20.9,1.9,6.8,13.3,-4.1,1.8,121.8,101.8,20,220.3,16.4,27,28.6,7.8,3,4.4,0.675,0,0,0,1.8,2.7,0.662,2.5,3.3,5.8,0.6,0.9,1.4,1.5,3.4,0.40,61.4,0.0,36.6,6-9,PF,Sr,A-10,25-26,26,FORWARD,0,High-Major,FALSE
1585,Tyrell Ward,VCU,0.594,0.571,147.6,5.2,13.4,9.4,6.3,16.6,2.2,1.3,22.8,-5.5,1.5,109.6,103,6.6,84.6,16.4,23,13.4,6.2,2.1,4.3,0.49,0.7,2.1,0.327,1.3,2,0.66,0.6,1.5,2.1,0.4,0.5,0.2,1,0.7,0.40,46.5,48.8,58.0,6-6,GF,Jr,A-10,25-26,26,WING,0,High-Major,FALSE
1586,Josh Pascarelli,COLST,0.625,0.61,175.3,3.9,10.8,7.6,11.1,8.9,1.4,0.2,19,0.7,1.3,126.1,112.6,13.6,182.1,16.4,25,27.6,10.8,3.8,8.2,0.463,2.4,5.7,0.42,0.8,0.9,0.87,0.7,2.3,3,1.5,0.6,0,0.8,1.7,1.88,11.0,69.5,81.1,6-3,G,Jr,MWC,25-26,26,GUARD,0,High-Major,FALSE
1587,"Rob Whaley, Jr.",KENT,0.55,0.516,140.5,9.3,12.5,10.9,12.2,16,1.6,3.1,24.9,-4,1.4,109.3,108.4,0.9,172.1,16.4,26,23.5,11.6,4.2,8.3,0.502,0.2,0.9,0.261,3,4.7,0.642,1.8,2.5,4.3,1.5,0.7,0.7,2,3,0.75,56.6,10.8,44.0,6-7,FC,Sr,MAC,25-26,26,FORWARD,0,Mid-Major,FALSE
1588,Jon Mekonnen,COLST,0.432,0.25,117.9,10.8,23.1,17.4,13.1,13.1,5.6,0,31.1,-2.7,1.2,99.9,91.3,8.5,14.3,16.4,11,4.9,2.1,0.5,1.8,0.25,0,0.8,0,1.2,1.3,0.929,0.4,0.9,1.3,0.4,0.5,0,0.4,0.9,1.00,72.2,44.4,42.3,6-8,F,Fr,MWC,25-26,26,FORWARD,0,High-Major,FALSE
1589,Charlie Williams,LIP,0.563,0.537,165.7,4.5,10.1,7.3,20.9,16.1,1.7,3.7,25.3,-0.7,1.2,107.2,106.1,1.2,189.3,16.3,30,21.6,10.4,4,8.5,0.473,1.1,3.2,0.344,1.2,1.5,0.841,0.8,1.8,2.6,2.4,0.7,0.7,1.8,2.7,1.33,17.6,37.6,60.1,6-10,C,Sr,A-SUN,25-26,26,BIG,0,Low-Major,FALSE
1590,Marcus Wilson,UCD,0.534,0.478,157.5,2.5,14.1,8.2,31.3,16.2,2.4,0.6,24.2,2.5,1.3,108.5,104.7,3.9,227.5,16.3,28,25.7,11.3,3.8,9,0.422,1,3,0.337,2.7,3.3,0.815,0.5,2.8,3.3,4,1.1,0.1,2,2.1,2.00,36.7,33.3,58.9,6-3,G,Fr,BWC,25-26,26,GUARD,0,Mid-Major,FALSE
1591,Isaac Gard,UWISC,0.672,0.6,190,0,28.1,14.2,12.3,25.2,0,0,29.3,-9.9,1.6,107.4,99.5,7.9,4.3,16.3,11,1.2,0.7,0.2,0.5,0.4,0.2,0.4,0.5,0.2,0.2,1,0,0.3,0.3,0.1,0,0,0.2,0.1,0.50,40.0,80.0,64.0,6-3,G,Sr,B10,25-26,26,GUARD,0,Power 5,FALSE
